date,population,population_2d,population_3d,precip,humidity,temp,lw_avg_temp,lw_avg_humidity,lw_precip
2009_06,1178.75,1119.0,971.3333333333334,0.0,72.28571428571429,29.857142857142858,28.71428571428571,76.23809523809524,0.0
2009_07,1015.0,769.5,788.0,0.0,74.85714285714286,28.857142857142858,29.047619047619047,74.85714285714288,0.0
2009_08,983.5,750.5,854.3333333333334,0.0,80.14285714285714,27.857142857142858,28.857142857142858,75.76190476190476,0.0
2009_09,934.75,943.5,900.3333333333334,0.0,75.0,29.0,28.57142857142857,76.66666666666667,0.0
2009_10,856.5,938.0,783.0,0.0,71.85714285714286,29.714285714285715,28.857142857142858,75.66666666666667,0.0
2009_11,844.25,643.5,574.3333333333334,0.0,74.0,29.142857142857142,29.28571428571429,73.61904761904763,0.0
2009_12,793.5,454.5,489.3333333333333,0.0,82.57142857142857,27.428571428571427,28.76190476190476,76.14285714285715,0.0
2009_13,696.25,497.5,587.3333333333334,0.0,84.57142857142857,27.714285714285715,28.0952380952381,80.38095238095237,0.0
2009_14,570.5,663.0,724.0,0.0,83.57142857142857,27.142857142857142,27.428571428571427,83.57142857142857,0.0
2009_15,558.75,806.5,730.3333333333334,0.0,78.85714285714286,27.285714285714285,27.38095238095238,82.33333333333333,0.0
2009_16,652.0,712.0,734.0,0.0,76.28571428571429,26.0,26.80952380952381,79.57142857142857,0.0
2009_17,687.5,678.0,751.3333333333334,0.0,79.14285714285714,24.857142857142858,26.047619047619047,78.09523809523809,0.0
2009_18,742.25,838.0,856.0,0.0,75.57142857142857,23.714285714285715,24.857142857142858,77.0,0.0
2009_19,775.0,895.0,820.6666666666666,0.0,75.28571428571429,24.571428571428573,24.38095238095238,76.66666666666667,0.0
2009_20,786.5,782.0,752.0,0.0,75.14285714285714,25.571428571428573,24.61904761904762,75.33333333333333,0.0
2009_21,810.0,682.0,604.0,0.0,75.57142857142857,23.285714285714285,24.47619047619048,75.33333333333333,0.0
2009_22,788.5,570.0,507.0,0.0,72.85714285714286,24.571428571428573,24.47619047619048,74.52380952380953,0.0
2009_23,676.0,414.5,360.0,0.0,71.57142857142857,23.0,23.61904761904762,73.33333333333333,0.0
2009_24,548.25,316.0,325.6666666666667,0.0,75.42857142857143,21.857142857142858,23.142857142857142,73.28571428571429,0.0
2009_25,443.0,298.0,354.0,0.0,76.28571428571429,22.571428571428573,22.47619047619048,74.42857142857143,0.0
2009_26,356.25,405.5,430.0,0.0,76.57142857142857,23.142857142857142,22.52380952380952,76.0952380952381,0.0
2009_27,360.75,472.5,424.6666666666667,0.0,75.57142857142857,23.714285714285715,23.142857142857142,76.14285714285715,0.0
2009_28,385.25,404.0,393.0,0.0,71.71428571428571,24.0,23.61904761904762,74.61904761904762,0.0
2009_29,404.75,350.0,361.3333333333333,0.0,75.57142857142857,23.285714285714285,23.666666666666668,74.28571428571428,0.0
2009_30,411.25,377.5,406.3333333333333,0.0,75.57142857142857,23.857142857142858,23.71428571428571,74.28571428571429,0.0
2009_31,390.75,424.0,388.6666666666667,0.0,76.0,24.0,23.71428571428571,75.71428571428571,0.0
2009_32,387.0,391.0,333.3333333333333,0.0,68.0,24.428571428571427,24.0952380952381,73.19047619047619,0.0
2009_33,384.25,268.0,273.3333333333333,0.0,71.28571428571429,22.857142857142858,23.76190476190476,71.76190476190476,0.0
2009_34,346.0,251.0,378.6666666666667,0.0,74.0,24.0,23.76190476190476,71.09523809523809,0.0
2009_35,321.0,459.0,524.3333333333334,0.0,82.28571428571429,22.571428571428573,23.142857142857142,75.85714285714286,0.0
2009_36,363.5,644.5,601.3333333333334,0.0,69.42857142857143,25.714285714285715,24.0952380952381,75.23809523809524,0.0
2009_37,447.75,585.0,539.3333333333334,0.0,71.71428571428571,25.571428571428573,24.61904761904762,74.47619047619047,0.0
2009_38,522.0,481.5,487.0,0.0,65.42857142857143,26.0,25.761904761904763,68.85714285714285,0.0
2009_39,563.0,473.0,506.3333333333333,0.0,71.85714285714286,25.285714285714285,25.61904761904762,69.66666666666667,0.0
2009_40,529.0,535.5,503.3333333333333,0.0,64.57142857142857,25.428571428571427,25.57142857142857,67.28571428571429,0.0
2009_41,508.5,506.0,464.6666666666667,0.0,69.0,26.142857142857142,25.61904761904762,68.47619047619048,0.0
2009_42,489.5,410.5,368.0,0.0,69.28571428571429,27.428571428571427,26.33333333333333,67.6190476190476,0.0
2009_43,473.0,332.5,467.0,0.0,70.14285714285714,27.571428571428573,27.047619047619047,69.47619047619048,0.0
2009_44,419.25,509.5,705.3333333333334,0.0,88.57142857142857,23.428571428571427,26.142857142857142,76.0,0.0
2009_45,460.0,916.5,948.0,0.0,71.0,27.285714285714285,26.09523809523809,76.57142857142857,0.0
2009_46,624.5,1054.0,1002.3333333333334,0.0,61.57142857142857,28.428571428571427,26.38095238095238,73.71428571428571,0.0
2009_47,781.75,955.0,834.3333333333334,0.0,62.142857142857146,28.0,27.9047619047619,64.90476190476191,0.0
2009_48,935.75,746.0,745.0,0.0,65.71428571428571,28.285714285714285,28.23809523809524,63.14285714285714,0.0
2009_49,900.0,668.0,645.0,0.0,79.85714285714286,26.714285714285715,27.666666666666668,69.23809523809524,0.0
2009_50,811.5,671.0,687.3333333333334,0.0,66.28571428571429,28.571428571428573,27.857142857142858,70.61904761904762,0.0
2009_51,708.5,659.5,725.0,0.0,75.28571428571429,27.0,27.42857142857143,73.80952380952381,0.0
2009_52,663.75,788.0,1001.0,0.0,67.57142857142857,29.285714285714285,28.28571428571429,69.71428571428571,0.0
2010_01,729.5,1141.5,1260.6666666666667,0.0,68.85714285714286,29.0,29.0,70.28571428571428,0.0
2010_02,900.5,1463.0,1405.6666666666667,0.0,69.0,29.285714285714285,29.0,70.76190476190476,0.0
2010_03,1125.5,1395.0,1288.3333333333333,0.0,69.0,29.142857142857142,29.142857142857142,68.95238095238095,0.0
2010_04,1268.25,1183.0,1145.6666666666667,0.0,70.28571428571429,28.857142857142858,29.0952380952381,69.42857142857143,0.0
2010_05,1323.0,1073.0,969.0,0.0,69.0,28.714285714285715,28.9047619047619,69.42857142857143,0.0
2010_06,1234.0,916.0,818.3333333333334,0.0,73.42857142857143,28.285714285714285,28.61904761904762,70.90476190476191,0.0
2010_07,1049.5,692.0,652.3333333333334,0.0,70.0,29.428571428571427,28.809523809523807,70.80952380952381,0.0
2010_08,882.5,598.0,514.0,0.0,71.71428571428571,28.428571428571427,28.71428571428571,71.71428571428571,0.0
