date,population,population_2d,population_3d,precip,humidity,temp,lw_avg_temp,lw_avg_humidity,lw_precip
2018_25,1317.5,1450.0,1393.3333333333335,35.82,89.31428571428572,27.25714285714286,27.96666666666667,82.37142857142857,94.356
2018_26,1387.5,1290.0,1340.0,8.528,79.60000000000001,29.11428571428572,28.20952380952381,83.03809523809524,102.79
2018_27,1407.5,1360.0,1370.0,174.85399999999998,83.18571428571428,27.457142857142856,27.94285714285714,84.03333333333333,219.202
2018_28,1405.0,1415.0,1376.6666666666667,14.41,79.14285714285714,28.814285714285717,28.46190476190476,80.64285714285714,197.792
2018_29,1352.5,1345.0,1330.0,0.0,76.24285714285715,29.985714285714288,28.75238095238095,79.52380952380952,189.26399999999995
2018_30,1352.5,1300.0,1350.0,0.0,68.72857142857143,30.27142857142857,29.69047619047619,74.7047619047619,14.409999999999972
2018_31,1357.5,1375.0,1390.0,7.689999999999999,75.85714285714286,28.557142857142857,29.604761904761904,73.60952380952381,7.689999999999971
2018_32,1360.0,1435.0,1356.6666666666667,37.769,82.55714285714285,28.542857142857144,29.123809523809523,75.71428571428572,45.45899999999997
2018_33,1367.5,1310.0,1223.3333333333335,0.229,79.32857142857142,29.5,28.866666666666664,79.24761904761904,45.68799999999997
2018_34,1342.5,1125.0,1100.0,3.196,75.68571428571428,30.02857142857143,29.357142857142858,79.19047619047619,41.19399999999997
2018_35,1280.0,1050.0,1075.0,18.299,85.02857142857144,28.0,29.176190476190477,80.01428571428572,21.72399999999997
2018_36,1180.0,1087.5,1075.0,46.116,88.52857142857144,27.285714285714285,28.43809523809524,83.08095238095238,67.61099999999998
2018_37,1106.25,1087.5,1118.3333333333335,80.834,92.87142857142858,25.9,27.06190476190476,88.80952380952381,145.24899999999997
2018_38,1068.75,1115.0,1110.0,32.999,78.01428571428572,27.82857142857143,27.004761904761907,86.47142857142858,159.94899999999998
2018_39,1101.25,1140.0,1016.6666666666666,35.249,82.54285714285713,25.25714285714286,26.328571428571426,84.47619047619048,149.082
2018_40,1113.75,935.0,823.3333333333334,24.614,80.05714285714285,26.97142857142857,26.685714285714283,80.2047619047619,92.86199999999998
2018_41,1025.0,685.0,656.6666666666667,4.424,70.58571428571429,25.914285714285715,26.047619047619047,77.72857142857141,64.28699999999998
2018_42,912.5,600.0,583.3333333333334,45.44,81.68571428571428,18.914285714285715,23.933333333333334,77.44285714285714,74.47799999999998
2018_43,767.5,575.0,470.0,31.876,75.58571428571429,18.357142857142858,21.06190476190476,75.95238095238095,81.73999999999997
2018_44,630.0,405.0,376.6666666666667,74.483,73.15714285714286,20.014285714285712,19.09523809523809,76.80952380952381,151.79899999999998
2018_45,502.5,290.0,376.6666666666667,13.23,81.77142857142857,18.942857142857143,19.104761904761904,76.83809523809525,119.58899999999998
2018_46,432.5,435.0,415.0,5.465,70.11428571428571,10.214285714285714,16.39047619047619,75.01428571428572,93.17799999999995
2018_47,420.0,462.5,398.33333333333337,15.856,76.95714285714287,14.12857142857143,14.428571428571429,76.28095238095239,34.55099999999997
2018_48,376.25,322.5,305.0,1.293,64.77142857142857,16.814285714285713,13.719047619047616,70.61428571428571,22.61399999999997
2018_49,378.75,270.0,263.3333333333333,94.165,69.7,12.585714285714284,14.509523809523808,70.47619047619048,111.31399999999996
2018_50,366.25,260.0,215.0,14.939,66.01428571428572,12.757142857142856,14.05238095238095,66.82857142857144,110.39699999999996
2018_51,291.25,187.5,158.33333333333334,1.229,69.65714285714286,14.271428571428572,13.204761904761902,68.45714285714286,110.33299999999996
2018_52,228.75,112.5,98.33333333333334,41.408,78.68571428571428,14.12857142857143,13.719047619047616,71.45238095238095,57.57599999999997
2019_01,186.25,85.0,66.66666666666667,40.542,80.07142857142857,11.671428571428573,13.357142857142856,76.13809523809523,83.17899999999997
2019_02,136.25,50.00000000000001,50.0,13.272,66.24285714285715,14.828571428571427,13.54285714285714,75.0,95.22199999999998
2019_03,81.25,40.0,51.66666666666667,12.362,72.71428571428571,12.071428571428571,12.857142857142854,73.0095238095238,66.17599999999997
2019_04,62.5,62.5,75.0,22.587,69.72857142857143,11.357142857142858,12.752380952380951,69.56190476190477,48.220999999999975
2019_05,56.25,87.5,91.66666666666667,22.906,75.5,13.114285714285714,12.18095238095238,72.64761904761905,57.854999999999976
2019_06,63.75,100.0,93.33333333333334,1.535,76.21428571428571,15.400000000000002,13.29047619047619,73.8142857142857,47.02799999999997
2019_07,81.25,90.0,86.66666666666667,11.504,75.74285714285715,17.271428571428572,15.26190476190476,75.81904761904762,35.94499999999997
2019_08,88.75,80.0,103.33333333333334,10.043,69.82857142857142,14.242857142857144,15.638095238095238,73.92857142857143,23.08199999999997
2019_09,90.0,115.0,136.66666666666669,51.016000000000005,86.8,15.0,15.5047619047619,77.45714285714286,72.56299999999997
2019_10,102.5,165.0,136.66666666666669,1.372,72.07142857142857,14.514285714285714,14.585714285714284,76.23333333333333,62.43099999999997
2019_11,122.5,165.0,136.66666666666669,9.827,65.28571428571429,18.585714285714285,16.03333333333333,74.71904761904763,62.214999999999975
