date,real_mosquitoes,predicted_mosquitoes,cases
2010_16,853.25,716.8287353515625,135.0
2010_17,894.75,645.5636596679688,130.0
2010_18,981.25,563.8435668945312,134.0
2010_19,964.5,442.8310546875,140.0
2010_20,1043.0,329.548583984375,134.0
2010_21,888.75,245.4785919189453,111.0
2010_22,776.75,234.8536834716797,92.0
2010_23,708.5,330.35626220703125,75.0
2010_24,616.75,343.17901611328125,89.0
2010_25,645.75,310.90283203125,71.0
2010_26,641.75,252.6886444091797,55.0
2010_27,593.0,175.81668090820312,100.0
2010_28,482.0,193.54037475585938,76.0
2010_29,412.25,264.3319091796875,83.0
2010_30,416.5,329.40472412109375,71.0
2010_31,494.75,389.38427734375,113.0
2010_32,643.0,358.49310302734375,82.0
2010_33,663.0,282.92303466796875,83.0
2010_34,646.25,155.69180297851562,86.0
2010_35,626.75,41.91244125366211,82.0
2010_36,533.25,29.202104568481445,36.0
2010_37,491.25,28.678749084472656,64.0
2010_38,484.0,29.448511123657227,47.0
2010_39,512.25,32.956424713134766,58.0
2010_40,530.0,34.975250244140625,51.0
2010_41,576.75,40.12544250488281,45.0
2010_42,565.75,32.52009963989258,56.0
2010_43,538.0,30.97074317932129,42.0
2010_44,483.75,32.46049499511719,37.0
2010_45,407.25,37.39617156982422,39.0
2010_46,369.25,44.021568298339844,62.0
2010_47,339.75,62.25361251831055,78.0
2010_48,434.0,171.45481872558594,137.0
2010_49,902.75,258.157470703125,82.0
2010_50,1303.75,135.4665069580078,93.0
2010_51,1569.5,55.26213455200195,49.0
2010_52,1574.5,37.72941970825195,38.0
2011_01,1174.0,36.63140106201172,99.0
2011_02,985.75,55.62885665893555,110.0
2011_03,930.75,150.59132385253906,98.0
2011_04,966.0,292.920654296875,102.0
2011_05,1192.0,460.9434814453125,113.0
2011_06,1270.0,528.4437255859375,109.0
2011_07,1246.0,580.2485961914062,167.0
2011_08,1229.25,646.857177734375,153.0
2011_09,1096.25,711.9844360351562,172.0
2011_10,903.0,741.6770629882812,156.0
2011_11,687.0,761.9234619140625,188.0
2011_12,643.5,732.4920654296875,356.0
2011_13,800.75,665.4104614257812,382.0
2011_14,964.25,590.9510498046875,474.0
2011_15,1162.5,498.9324951171875,456.0
2011_16,1329.25,381.70379638671875,407.0
2011_17,1184.25,252.51690673828125,545.0
2011_18,1015.5,150.2045440673828,559.0
2011_19,965.0,107.04065704345703,547.0
2011_20,846.5,78.7508544921875,448.0
2011_21,718.25,78.91395568847656,322.0
2011_22,656.75,75.20152282714844,295.0
2011_23,534.75,67.53219604492188,226.0
2011_24,443.25,53.716285705566406,169.0
2011_25,421.75,41.34095764160156,123.0
2011_26,402.25,27.327634811401367,119.0
2011_27,394.5,16.895706176757812,82.0
2011_28,365.5,10.589197158813477,64.0
2011_29,372.25,8.98116397857666,81.0
2011_30,365.25,9.514567375183105,75.0
2011_31,375.5,10.394890785217285,60.0
